NameMix,FullName,Gender,Birth Year,Start Year,End Year,Race,Degree,Major,PreFed_clean,SaltFresh
Ronald Ransom,Ronald Ransom,1.0,1882.0,1936.0,1947.0,W,None/unknown,Law,Banking/Finance/Fed,
Sarah B. Raskin,Sarah B. Raskin,0.0,1961.0,2010.0,2014.0,W,JD,Law,Government/Public Service,
Emmett J. Rice,Emmett J. Rice,1.0,1919.0,1979.0,1986.0,NW,Master's,Business,Academic Economist,
Alice M. Rivlin,Alice M. Rivlin,0.0,1931.0,1996.0,1999.0,W,PhD,Economics,Professional Economist,3.0
Theodore H. Roberts,Theodore H. Roberts,1.0,1927.0,1983.0,1984.0,W,Bachelor's,,Banking/Finance/Fed,
Roberts,,1.0,,-9999.0,9999.0,,None/unknown,,Banking/Finance/Fed,
James L. Robertson,James L. Robertson,1.0,1907.0,1952.0,1973.0,W,Master's,Law,Law/Legal,
Lawrence K. Roos,Lawrence K. Roos,1.0,1918.0,1976.0,1983.0,W,Bachelor's,,Banking/Finance/Fed,
Roos,,1.0,1919.0,-9999.0,9999.0,,None/unknown,,Banking/Finance/Fed,
Eric S. Rosengren,Eric S. Rosengren,1.0,1957.0,2007.0,2021.0,W,PhD,Economics,Professional Economist,1.0
Anthony M. Santomero,Anthony M. Santomero,1.0,1946.0,2000.0,2006.0,W,PhD,Economics,Academic Economist,2.0
Charles J. Scanlon,Charles J. Scanlon,1.0,1922.0,1962.0,1970.0,W,None/unknown,,Banking/Finance/Fed,
George J. Schaller,George J. Schaller,1.0,1874.0,1934.0,1941.0,W,None/unknown,,Banking/Finance/Fed,
Schmid,,1.0,,-9999.0,9999.0,,None/unknown,,,
Frederick H. Schultz,Frederick H. Schultz,1.0,1929.0,1979.0,1982.0,W,JD,Law,Business/Industry,
Martha R. Seger,Martha R. Seger,0.0,1932.0,1984.0,1991.0,W,PhD,Finance,Academic Economist,
John E. Sheehan,John E. Sheehan,1.0,1923.0,1972.0,1975.0,W,Master's,Business,Business/Industry,
Sheehan,,1.0,1929.0,-9999.0,9999.0,,None/unknown,Business,Business/Industry,
Charles N. Shepardson,Charles N. Shepardson,1.0,1896.0,1955.0,1967.0,W,Master's,,Academic Economist,
William W. Sherrill,William W. Sherrill,1.0,1926.0,1967.0,1971.0,W,Master's,Business,Banking/Finance/Fed,
Harry A. Shuford,Harry A. Shuford,1.0,1913.0,1962.0,1966.0,W,JD,Law,Law/Legal,
John S. Sinclair,John S. Sinclair,1.0,1897.0,1936.0,1941.0,W,None/unknown,Law,Law/Legal,
Anthony M. Solomon,Anthony M. Solomon,1.0,1919.0,1980.0,1985.0,W,Master's,Economics,Government/Public Service,
Allan Sproul,Allan Sproul,1.0,1896.0,1941.0,1956.0,W,Bachelor's,Agriculture/Other,Military,
William Mcchesney Martin Sr.,William Mcchesney Martin Sr.,1.0,1874.0,1929.0,1941.0,W,None/unknown,Law,Law/Legal,
Jeremy C. Stein,Jeremy C. Stein,1.0,1960.0,2012.0,2014.0,W,PhD,Economics,Academic Economist,1.0
Gary H. Stern,Gary H. Stern,1.0,1944.0,1985.0,2009.0,W,PhD,Economics,Professional Economist,3.0
Stewart,,1.0,1945.0,-9999.0,9999.0,,None/unknown,Law,Banking/Finance/Fed,
Eliot J. Swan,Eliot J. Swan,1.0,1911.0,1961.0,1972.0,W,None/unknown,Economics,Academic Economist,
Richard F. Syron,Richard F. Syron,1.0,1943.0,1989.0,1994.0,W,PhD,Economics,Professional Economist,3.0
Syron,,1.0,1944.0,-9999.0,9999.0,,PhD,Economics,Banking/Finance/Fed,3.0
Tarullo,,1.0,1950.0,-9999.0,9999.0,,None/unknown,Law,Academic Economist,
Daniel K. Tarullo,Daniel K. Tarullo,1.0,1952.0,2009.0,2017.0,W,JD,Law,Academic Economist,
Nancy H. Teeters,Nancy H. Teeters,0.0,1930.0,1978.0,1984.0,W,Master's,Economics,Professional Economist,
Timlen,,1.0,1928.0,-9999.0,9999.0,,None/unknown,Law,Banking/Finance/Fed,
Paul A. Volcker,Paul A. Volcker,1.0,1927.0,1975.0,1979.0,W,Master's,Political Science/Public Policy,Professional Economist,
Paul A. Volcker,Paul A. Volcker,1.0,1927.0,1979.0,1987.0,W,Master's,Political Science/Public Policy,Professional Economist,
